count	shape	phase	mode	bytes	len	osz	asz	seg	rep	pfxn	op	fixg	kind	mod	reg	rm	b	x	s	disp	dispbits	modrmbits	imm	immbits	ok	text	fields
3201794	32:8946	1	32	894604	3	4	4	-	-	0	89	-	base_d8	1	0	6	6	-	-	4	8	16	-	0	1	mov [esi+4], eax	op@0:8=89 mod@14:2=1 reg@11:3=0 rm@8:3=6 disp@16:8=4
3072748	32:3b46	1	32	3b4640	3	4	4	-	-	0	3b	-	base_d8	1	0	6	6	-	-	64	8	16	-	0	1	cmp eax, [esi+0x40]	op@0:8=3b mod@14:2=1 reg@11:3=0 rm@8:3=6 disp@16:8=64
3072748	32:3b46	1	32	3b4634	3	4	4	-	-	0	3b	-	base_d8	1	0	6	6	-	-	52	8	16	-	0	1	cmp eax, [esi+0x34]	op@0:8=3b mod@14:2=1 reg@11:3=0 rm@8:3=6 disp@16:8=52
2941208	32:1356	1	32	135604	3	4	4	-	-	0	13	-	base_d8	1	2	6	6	-	-	4	8	16	-	0	1	adc edx, [esi+4]	op@0:8=13 mod@14:2=1 reg@11:3=2 rm@8:3=6 disp@16:8=4
2180532	32:50	1	32	50	1	4	4	-	-	0	50	-	-	-	-	-	-	-	-	-	0	0	-	0	1	push eax	op@0:8=50
2124219	16:75	1	16	7509	2	2	2	-	-	0	75	-	-	-	-	-	-	-	-	-	0	0	0x9	8	1	jne short 0x000B	op@0:8=75 imm@8:8=0x9
2124219	16:75	1	16	750f	2	2	2	-	-	0	75	-	-	-	-	-	-	-	-	-	0	0	0xf	8	1	jne short 0x0011	op@0:8=75 imm@8:8=0xf
1891639	32:72	1	32	7203	2	4	4	-	-	0	72	-	-	-	-	-	-	-	-	-	0	0	0x3	8	1	jb short 5	op@0:8=72 imm@8:8=0x3
1891639	32:72	1	32	721b	2	4	4	-	-	0	72	-	-	-	-	-	-	-	-	-	0	0	0x1b	8	1	jb short 0x0000001D	op@0:8=72 imm@8:8=0x1b
1634222	32:57	1	32	57	1	4	4	-	-	0	57	-	-	-	-	-	-	-	-	-	0	0	-	0	1	push edi	op@0:8=57
1578678	32:c2	1	32	c20400	3	4	4	-	-	0	c2	-	-	-	-	-	-	-	-	-	0	0	0x4	16	1	ret 4	op@0:8=c2 imm@8:16=0x4
1522452	32:53	1	32	53	1	4	4	-	-	0	53	-	-	-	-	-	-	-	-	-	0	0	-	0	1	push ebx	op@0:8=53
1474044	16:46	1	16	46	1	2	2	-	-	0	46	-	-	-	-	-	-	-	-	-	0	0	-	0	1	inc si	op@0:8=46
1361438	32:5f	1	32	5f	1	4	4	-	-	0	5f	-	-	-	-	-	-	-	-	-	0	0	-	0	1	pop edi	op@0:8=5f
1343116	32:5b	1	32	5b	1	4	4	-	-	0	5b	-	-	-	-	-	-	-	-	-	0	0	-	0	1	pop ebx	op@0:8=5b
1293926	16:8a24	1	16	8a24	2	2	2	-	-	0	8a	-	base16	0	4	4	-	-	-	-	0	8	-	0	1	mov ah, [si]	op@0:8=8a mod@14:2=0 reg@11:3=4 rm@8:3=4
1282803	32:0f85	1	32	0f85ad000000	6	4	4	-	-	0	0f85	-	-	-	-	-	-	-	-	-	0	0	0xad	32	1	jne near 0x000000B3	op@0:16=0f85 imm@16:32=0xad
1282803	32:0f85	1	32	0f853b020000	6	4	4	-	-	0	0f85	-	-	-	-	-	-	-	-	-	0	0	0x23b	32	1	jne near 0x00000241	op@0:16=0f85 imm@16:32=0x23b
1239896	16:8ed8	1	16	8ed8	2	2	2	-	-	0	8e	-	reg_direct	3	3	0	-	-	-	-	0	8	-	0	1	mov ds, ax	op@0:8=8e mod@14:2=3 reg@11:3=3 rm@8:3=0
1232282	32:0bc9	1	32	0bc9	2	4	4	-	-	0	0b	-	reg_direct	3	1	1	-	-	-	-	0	8	-	0	1	or ecx, ecx	op@0:8=0b mod@14:2=3 reg@11:3=1 rm@8:3=1
1198974	32:8b08	1	32	8b08	2	4	4	-	-	0	8b	-	base	0	1	0	0	-	-	-	0	8	-	0	1	mov ecx, [eax]	op@0:8=8b mod@14:2=0 reg@11:3=1 rm@8:3=0
1156074	32:4a	1	32	4a	1	4	4	-	-	0	4a	-	-	-	-	-	-	-	-	-	0	0	-	0	1	dec edx	op@0:8=4a
1152570	32:55	1	32	55	1	4	4	-	-	0	55	-	-	-	-	-	-	-	-	-	0	0	-	0	1	push ebp	op@0:8=55
1150643	32:0f84	1	32	0f84d9010000	6	4	4	-	-	0	0f84	-	-	-	-	-	-	-	-	-	0	0	0x1d9	32	1	je near 0x000001DF	op@0:16=0f84 imm@16:32=0x1d9
1150643	32:0f84	1	32	0f845a020000	6	4	4	-	-	0	0f84	-	-	-	-	-	-	-	-	-	0	0	0x25a	32	1	je near 0x00000260	op@0:16=0f84 imm@16:32=0x25a
1141910	16:c3	1	16	c3	1	2	2	-	-	0	c3	-	-	-	-	-	-	-	-	-	0	0	-	0	1	ret	op@0:8=c3
1106519	32:ff15	1	32	ff15240f01c0	6	4	4	-	-	0	ff	2	abs32	0	2	5	-	-	-	-1073672412	32	40	-	0	1	call dword [0xC0010F24]	op@0:8=ff mod@14:2=0 reg@11:3=2 rm@8:3=5 disp@16:32=-1073672412
1106519	32:ff15	1	32	ff15340f01c0	6	4	4	-	-	0	ff	2	abs32	0	2	5	-	-	-	-1073672396	32	40	-	0	1	call dword [0xC0010F34]	op@0:8=ff mod@14:2=0 reg@11:3=2 rm@8:3=5 disp@16:32=-1073672396
1090868	16:1f	1	16	1f	1	2	2	-	-	0	1f	-	-	-	-	-	-	-	-	-	0	0	-	0	1	pop ds	op@0:8=1f
1065038	16:47	1	16	47	1	2	2	-	-	0	47	-	-	-	-	-	-	-	-	-	0	0	-	0	1	inc di	op@0:8=47
1056644	32:58	1	32	58	1	4	4	-	-	0	58	-	-	-	-	-	-	-	-	-	0	0	-	0	1	pop eax	op@0:8=58
